Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,"New York, New York",10/1/92,51644
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",3/31/76,51253
INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,"Mountain View, California",12/5/00,896878
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,1035267
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/09,1020569
JEC,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Pasadena, California",10/26/07,52988
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",7/1/15,728535
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419
JNJ,Johnson & Johnson,reports,Health Care,Health Care Equipment,"New Brunswick, New Jersey",6/30/73,200406
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",8/27/10,833444
JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,"New York, New York",6/30/75,19617
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",5/24/13,54480
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,91576
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",,55785
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/06,879101
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/12,1506307
KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",7/6/15,1637459
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/83,701985
LLL,L-3 Communications Holdings,reports,Industrials,Aerospace & Defense,"New York, New York",,1056239
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,"Burlington, North Carolina",11/1/04,920148
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/12,707549
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/05,920760
LVLT,Level 3 Communications,reports,Telecommunication Services,Alternative Carriers,"Broomfield, Colorado",11/5/14,794323
LUK,Leucadia National Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",8/27/07,96223
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,59478
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/76,59558
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,1065696
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/84,936468
L,Loews Corp.,reports,Financials,Multi-line Insurance,"New York, New York",,60086
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/12,1489393
MTB,M&T Bank Corp.,reports,Financials,Regional Banks,"Buffalo, New York",,36270
MAC,Macerich,reports,Real Estate,Retail REITs,"Santa Monica, California",5/9/13,912242
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/91,101778
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/11,1510295
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",8/31/87,62709
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,916076
MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",6/30/81,62996
MA,Mastercard Inc.,reports,Information Technology,Internet Software & Services,"Harrison, New York",7/18/08,1141391
MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/82,63276
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",6/30/70,63908
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"San Francisco, California",,927653
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/86,64670
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,1037646
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/17,789570
KORS,Michael Kors Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/13,1530721
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",9/7/07,827054
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",9/27/94,723125
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",6/1/94,789019
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/16,912595
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",12/23/13,851968
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",6/30/76,24545
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/12,1103982
MON,Monsanto Co.,reports,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",8/7/02,1110783
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",6/28/12,865752
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",9/26/11,1285785
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,"Schaumburg, Illinois",,68505
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",4/23/04,69499
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",10/22/08,1120193
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/14/05,1021860
NAVI,Navient,reports,Financials,Consumer Finance,"Wilmington, Delaware",5/1/14,1593538
NTAP,NetApp,reports,Information Technology,Internet Software & Services,"Sunnyvale, California",6/25/99,1002047
NFLX,Netflix Inc.,reports,Information Technology,Internet Software & Services,"Los Gatos, California",12/20/10,1065280
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",4/30/89,814453
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/20/10,912750
NEM,Newmont Mining Corporation,reports,Materials,Gold,"Denver, Colorado",6/30/69,1164727
NWSA,News Corp. Class A,reports,Consumer Discretionary,Publishing,"New York, New York",8/1/13,1564708
NWS,News Corp. Class B,reports,Consumer Discretionary,Publishing,"New York, New York",9/18/15,1564708
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/76,753308
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",7/9/13,1492633
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187
NI,NiSource Inc.,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",10/8/07,72207
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",8/31/86,72333
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",,702165
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/85,1133421
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1/29/10,1013871
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",4/30/85,73309
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",11/30/01,1045810
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/09,898173
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",12/31/82,797468
OMC,Omnicom Group,reports,Consumer Discretionary,Advertising,"New York, New York",,29989
OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/10,1039684
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",8/31/89,1341439
PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/80,75362
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",7/26/17,75677
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",11/30/85,76334
PDCO,Patterson Companies,reports,Health Care,Health Care Supplies,"St. Paul, Minnesota",10/11/05,891024
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,"Penfield, New York",,723531
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/15,1633917
PNR,Pentair Ltd.,reports,Industrials,Industrial Machinery,"Worsley, UK",10/1/12,77360
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/08,1378946
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,77476
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/85,31791
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",12/19/11,1585364
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",,78003
PCG,PG&E Corp.,reports,Utilities,Multi-Utilities,"San Francisco, California",,1004980
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",3/31/08,1413329
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/12,1534701
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/08,1038357
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/88,713676
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/07,1037038
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879
PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224
PX,Praxair Inc.,reports,Materials,Industrial Gases,"Danbury, Connecticut",7/1/92,884905
PCLN,Priceline.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/09,1075531
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/02,1126328
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/97,80661
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",7/17/03,1045609
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,"Newark, New Jersey",,788784
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",8/19/05,1393311
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/84,822416
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/13,78239
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778
PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1050915
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",,804328
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Madison, New Jersey",12/12/02,1022079
RRC,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",12/21/07,315852
RJF,Raymond James Financial Inc.,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,720005
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",4/7/15,726728
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,"Raleigh, North Carolina",7/27/09,1087423
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,910606
REGN,Regeneron,reports,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,872589
RF,Regions Financial Corp.,reports,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1281761
RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",7/26/17,943819
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/00,315213
ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478
COL,Rockwell Collins,reports,Industrials,Aerospace & Defense,"Cedar Rapids, Iowa",7/2/01,1137411
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/09,882835
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Pleasanton, California",12/21/09,745732
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887
CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,"San Francisco, California",9/15/08,1108524
SCG,SCANA Corp,reports,Utilities,Multi-Utilities,"Cayce, South Carolina",1/2/09,754737
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Cura̤ao, Kingdom of the Netherlands",3/31/65,87347
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,Cable & Satellite,"Cincinnati, Ohio",7/1/08,1430602
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,1137789
SEE,Sealed Air,reports,Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800
SIG,Signet Jewelers,reports,Consumer Discretionary,Specialty Stores,"Hamilton, Bermuda",7/29/15,832988
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/15,4127
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",3/20/15,1040971
SNA,Snap-On Inc.,reports,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",9/30/82,91440
SO,Southern Co.,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",7/1/94,92380
SPGI,"S&P Global, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",,64040
SWK,Stanley Black & Decker,reports,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",9/30/82,93556
SPLS,Staples Inc.,reports,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",10/7/98,791519
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224
STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751
SRCL,Stericycle Inc,reports,Industrials,Environmental & Facilities Services,"Lake Forest, Illinois",11/19/08,861878
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764
STI,SunTrust Banks,reports,Financials,Regional Banks,"Atlanta, Georgia",5/31/88,750556
SYMC,Symantec Corp.,reports,Information Technology,Application Software,"Mountain View, California",3/25/03,849399
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",3/16/17,883241
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",12/31/86,96021
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/76,27419
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,1385157
FTI,TechnipFMC,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",6/5/09,1681459
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",,97745
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",6/21/00,98246
TWX,Time Warner Inc.,reports,Consumer Discretionary,Cable & Satellite,"New York, New York",,1105705
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198
TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,320335
TSS,Total System Services,reports,Information Technology,Internet Software & Services,"Columbus, Georgia",1/2/08,721683
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/14,916365
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",8/21/02,86312
TRIP,TripAdvisor,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Newton, Massachusetts",12/21/11,1526520
FOXA,Twenty-First Century Fox Class A,reports,Consumer Discretionary,Publishing,"New York, New York",7/1/13,1308161
FOX,Twenty-First Century Fox Class B,reports,Consumer Discretionary,Publishing,"New York, New York",9/18/15,1308161
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493
UDR,UDR Inc,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208
ULTA,Ulta Salon Cosmetics & Fragrance Inc,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104
UA,Under Armour Class C,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,1336917
UAA,Under Armour Class A,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/16,1336917
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",,100885
